langs,neighbour,i
Halh Mongolian,Leh Ladakhi,9
Halh Mongolian,Georgian,10
Hausa,Central Kanuri,1
Hausa,Pulaar,2
Hausa,Mandinka,3
Hausa,Nupe-Nupe-Tako,4
Hausa,Swahili,5
Hausa,Somali,6
Hausa,Gambian Wolof,7
Hausa,Ga,8
Hausa,Chadian Arabic,9
Hausa,Igbo,10
Havasupai-Walapai-Yavapai,Cahuilla,1
Havasupai-Walapai-Yavapai,Tohono O'odham,2
Havasupai-Walapai-Yavapai,Alabama,3
Havasupai-Walapai-Yavapai,Northwest Sahaptin,4
Havasupai-Walapai-Yavapai,Coast Miwok,5
Havasupai-Walapai-Yavapai,Navajo,6
Havasupai-Walapai-Yavapai,Yaqui,7
Havasupai-Walapai-Yavapai,Shoshoni,8
Havasupai-Walapai-Yavapai,Jicarilla Apache,9
Havasupai-Walapai-Yavapai,Koasati,10
Hawaiian,Tuamotuan,1
Hawaiian,Rennell-Bellona,2
Hawaiian,Chuukese,3
Hawaiian,Gilbertese,4
Hawaiian,Maori,5
Hawaiian,Tahitian,6
Hawaiian,Rotuman,7
Hawaiian,Roviana,8
Hawaiian,Kapingamarangi,9
Hawaiian,Marshallese,10
Heiltsuk-Oowekyala,Haisla,1
Heiltsuk-Oowekyala,Kwak'wala,2
Heiltsuk-Oowekyala,Tanacross,3
Heiltsuk-Oowekyala,Aleut,4
Heiltsuk-Oowekyala,Central Siberian Yupik,5
Heiltsuk-Oowekyala,Central Carrier,6
Heiltsuk-Oowekyala,Cherokee,7
Heiltsuk-Oowekyala,Seneca,8
Heiltsuk-Oowekyala,Ahtena,9
Heiltsuk-Oowekyala,Squamish,10
Herero,Xhosa,1
Herero,Akan,2
Herero,Tswana,3
Herero,Southern Sotho,4
Herero,Kuanyama,5
Herero,Mbukushu,6
Herero,Zulu,7
Herero,South-Central Koongo,8
Herero,Ndau,9
Herero,Ndonga,10
Hidatsa,Central Carrier,1
Hidatsa,Dakota,2
Hidatsa,Central Tarahumara,3
Hidatsa,Sundanese,4
Hidatsa,Cheyenne,5
Hidatsa,Ute-Southern Paiute,6
Hidatsa,South-Central Koongo,7
Hidatsa,Plateau Malagasy,8
Hidatsa,Bobangi,9
Hidatsa,Didinga,10
Hiligaynon,Coastal-Naga Bikol,1
Hiligaynon,Cebuano,2
Hiligaynon,Yogad,3
Hiligaynon,Masbatenyo,4
Hiligaynon,Pangasinan,5
Hiligaynon,Pampanga,6
Hiligaynon,Iloko,7
Hiligaynon,Waray,8
Hiligaynon,Chamorro,9
Hiligaynon,Maranao,10
Hindi,Malayalam,1
Hindi,Bengali,2
Hindi,Telugu,3
Hindi,Urdu,4
Hindi,Eastern Panjabi,5
Hindi,Hindustani,6
Hindi,Sindhi,7
Hindi,Kannada,8
Hindi,Tamil,9
Hindi,Marathi,10
Hindustani,Urdu,1
Hindustani,Sindhi,2
Hindustani,Northern Pashto,3
Hindustani,Eastern Panjabi,4
Hindustani,Western Farsi,5
Hindustani,Hindi,6
Hindustani,Telugu,7
Hindustani,Malayalam,8
Hindustani,Tamil,9
Hindustani,Bengali,10
Hmong Daw,Akha,1
Hmong Daw,Hmong Njua,2
Hmong Daw,Chantyal,3
Hmong Daw,Mag-Anchi Ayta,4
Hmong Daw,Yao,5
Hmong Daw,Nung,6
Hmong Daw,Tboli,7
Hmong Daw,Rungus,8
Hmong Daw,Thao,9
Hmong Daw,Mising-Padam-Miri-Minyong,10
Hmong Njua,Akha,1
Hmong Njua,Hmong Daw,2
Hmong Njua,Chantyal,3
Hmong Njua,Tai Dón,4
Hmong Njua,Yao,5
Hmong Njua,Nung,6
Hmong Njua,Beng,7
Hmong Njua,Besisi,8
Hmong Njua,Kxoe,9
Hmong Njua,Limbu,10
Ho,Rabha,1
Ho,Ao Naga,2
Ho,Kurukh,3
Ho,Santali,4
Ho,Biatah Bidayuh,5
Ho,S'gaw Karen,6
Ho,Sora,7
Ho,Chepang,8
Ho,Mizo,9
Ho,Tetum,10
Ho-Chunk,Northeast Maidu,1
Ho-Chunk,Seneca,2
Ho-Chunk,Yana,3
Ho-Chunk,Klamath-Modoc,4
Ho-Chunk,Tunica,5
Ho-Chunk,Ute-Southern Paiute,6
Ho-Chunk,Lycian A,7
Ho-Chunk,Classical Nahuatl,8
Ho-Chunk,Comanche,9
Ho-Chunk,Kosarek Yale,10
Hungarian,Polish,1
Hungarian,Danish,2
Hungarian,Russian,3
Hungarian,Slovenian,4
Hungarian,Ukrainian,5
Hungarian,Dutch,6
Hungarian,Swedish,7
Hungarian,Afrikaans,8
Hungarian,Slovak,9
Hungarian,French,10
Huron-Wyandot,Eastern Ojibwa,1
Huron-Wyandot,Lega-Shabunda,2
Huron-Wyandot,Chippewa,3
Huron-Wyandot,Dehu,4
Huron-Wyandot,Limbu,5
Huron-Wyandot,Creek,6
Huron-Wyandot,Upper Chehalis,7
Huron-Wyandot,Northwestern Ojibwa,8
Huron-Wyandot,Koasati,9
Huron-Wyandot,Unami,10
Iban,Baram Kayan,1
Iban,Muna,2
Iban,Biatah Bidayuh,3
Iban,Lundayeh,4
Iban,Yabem,5
Iban,Casiguran-Nagtipunan Agta,6
Iban,Chepang,7
Iban,Rungus,8
Iban,Yao,9
Iban,Mansaka,10
Ibibio,Central Dagaare,1
Ibibio,Tee,2
Ibibio,Gbari,3
Ibibio,Mbay,4
Ibibio,Mungaka,5
Ibibio,Igbo,6
Ibibio,Bafanji,7
Ibibio,Nupe-Nupe-Tako,8
Ibibio,Bini,9
Ibibio,Tumulung Sisaala,10
Icelandic,Old Norse,1
Icelandic,Scottish Gaelic,2
Icelandic,Old English,3
Icelandic,Scots,4
Icelandic,Avestan,5
Icelandic,Irish,6
Icelandic,Manx,7
Icelandic,Latin,8
Icelandic,Essex,9
Icelandic,South Yorkshire English,10
Igbo,Tee,1
Igbo,Esan,2
Igbo,Abua,3
Igbo,Ncane-Mungong,4
Igbo,Urhobo,5
Igbo,Ga,6
Igbo,Gbari,7
Igbo,Izon,8
Igbo,Ibibio,9
Igbo,Central Dagaare,10
Iloko,Waray,1
Iloko,Cebuano,2
Iloko,Maguindanao,3
Iloko,Pangasinan,4
Iloko,Maranao,5
Iloko,Coastal-Naga Bikol,6
Iloko,Masbatenyo,7
Iloko,Tetum,8
Iloko,Agusan Manobo,9
Iloko,Pampanga,10
Ipai,Malecite-Passamaquoddy,1
Ipai,Plains Cree,2
Ipai,Western Abenaki,3
Ipai,Isthmus Zapotec,4
Ipai,Klamath-Modoc,5
Ipai,Western Tlacolula Valley Zapotec,6
Ipai,Western Ojibwa,7
Ipai,Western Apache,8
Ipai,Awa,9
Ipai,Wampanoag,10
Iquito,Lokono,1
Iquito,Kalam,2
Iquito,Agusan Manobo,3
Iquito,Takuu,4
Iquito,Trinidadian Creole English,5
Iquito,Batad Ifugao,6
Iquito,Fijian,7
Iquito,Bambara,8
Iquito,Nen,9
Iquito,Kwoma,10
Iraqw,Karamojong,1
Iraqw,Nandi,2
Iraqw,Luo,3
Iraqw,Sidamo,4
Iraqw,Southwestern Dinka,5
Iraqw,Kamba,6
Iraqw,Naro,7
Iraqw,Ha,8
Iraqw,Central Dagaare,9
Iraqw,Nuer,10
Irish,Scottish Gaelic,1
Irish,Welsh,2
Irish,Manx,3
Irish,Old English,4
Irish,Latin,5
Irish,Old Norse,6
Irish,Modern Greek,7
Irish,Cornish,8
Irish,Eastern Armenian,9
Irish,Old French,10
Isthmus Zapotec,Ipai,1
Isthmus Zapotec,Western Tlacolula Valley Zapotec,2
Isthmus Zapotec,Malecite-Passamaquoddy,3
Isthmus Zapotec,Plains Cree,4
Isthmus Zapotec,Eastern Canadian Inuktitut,5
Isthmus Zapotec,Wampanoag,6
Isthmus Zapotec,Western Abenaki,7
Isthmus Zapotec,Awa,8
Isthmus Zapotec,Western Canadian Inuktitut,9
Isthmus Zapotec,Klamath-Modoc,10
Italian,French,1
Italian,Spanish,2
Italian,Dutch,3
Italian,Polish,4
Italian,German,5
Italian,Portuguese,6
Italian,Hungarian,7
Italian,Danish,8
Italian,Swedish,9
Italian,Afrikaans,10
Izon,Urhobo,1
Izon,Tee,2
Izon,Abua,3
Izon,Bini,4
Izon,Tangale,5
Izon,Igbo,6
Izon,Esan,7
Izon,Mwaghavul,8
Izon,Ga,9
Izon,Ibibio,10
Japanese,Korean,1
Japanese,Vietnamese,2
Japanese,Swedish,3
Japanese,Finnish,4
Japanese,Mandarin Chinese,5
Japanese,Estonian,6
Japanese,Standard Indonesian,7
Japanese,Levantine Arabic,8
Japanese,Danish,9
Japanese,Swahili,10
Javanese,Western Frisian,1
Javanese,Papiamento,2
Javanese,Tsonga,3
Javanese,Belarusian,4
Javanese,Western Flemish,5
Javanese,Adyghe,6
Javanese,Leh Ladakhi,7
Javanese,Sembakung Murut,8
Javanese,Haitian,9
Javanese,Galician,10
Jehai,Rade,1
Jehai,Lega-Shabunda,2
Jehai,Warao,3
Jehai,Guarayu,4
Jehai,Besisi,5
Jehai,Border Kuna,6
Jehai,Semai,7
Jehai,Bantawa,8
Jehai,Kxoe,9
Jehai,Limbu,10
Jewish Babylonian Aramaic,Assyrian Neo-Aramaic,1
Jewish Babylonian Aramaic,Neo-Mandaic,2
Jewish Babylonian Aramaic,Sabaic,3
Jewish Babylonian Aramaic,Khotanese,4
Jewish Babylonian Aramaic,Ancient Hebrew,5
Jewish Babylonian Aramaic,Andalusian Arabic,6
Jewish Babylonian Aramaic,Khwarezmian,7
Jewish Babylonian Aramaic,Sumerian,8
Jewish Babylonian Aramaic,Judeo-Yemeni Arabic,9
Jewish Babylonian Aramaic,Akkadian,10
Jicarilla Apache,Navajo,1
Jicarilla Apache,Tohono O'odham,2
Jicarilla Apache,Havasupai-Walapai-Yavapai,3
Jicarilla Apache,Western Apache,4
Jicarilla Apache,Seneca,5
Jicarilla Apache,Kiliwa,6
Jicarilla Apache,Northwest Sahaptin,7
Jicarilla Apache,Ahtena,8
Jicarilla Apache,Comanche,9
Jicarilla Apache,Central Siberian Yupik,10
Jingulu,Mudburra,1
Jingulu,Ngalkbun,2
Jingulu,Yandruwandha,3
Jingulu,Yankunytjatjara,4
Jingulu,Muruwari,5
Jingulu,Bardi,6
Jingulu,Warlpiri,7
Jingulu,Tiwi,8
Jingulu,Wik-Mungkan,9
Jingulu,Wirangu,10
Judeo-Yemeni Arabic,Andalusian Arabic,1
Judeo-Yemeni Arabic,Central Kanuri,2
Judeo-Yemeni Arabic,Western Panjabi,3
Judeo-Yemeni Arabic,Beja,4
Judeo-Yemeni Arabic,Amharic,5
Judeo-Yemeni Arabic,Sumerian,6
Judeo-Yemeni Arabic,Jewish Babylonian Aramaic,7
Judeo-Yemeni Arabic,Kashmiri,8
Judeo-Yemeni Arabic,Central Kurdish,9
Judeo-Yemeni Arabic,Kathmandu Valley Newari,10
K'iche',Yucatec Maya,1
K'iche',Tzotzil,2
K'iche',Koasati,3
K'iche',Mayan,4
K'iche',Creek,5
K'iche',Limbu,6
K'iche',Cahuilla,7
K'iche',Kiliwa,8
K'iche',Guarayu,9
K'iche',Western Huasteca Nahuatl,10
Kadazan Dusun,Lundayeh,1
Kadazan Dusun,Baram Kayan,2
Kadazan Dusun,Bulgarian,3
Kadazan Dusun,Plateau Malagasy,4
Kadazan Dusun,East-Central Tangkhul Naga,5
Kadazan Dusun,Yogad,6
Kadazan Dusun,Yeyi,7
Kadazan Dusun,Ndonga,8
Kadazan Dusun,Balinese,9
Kadazan Dusun,Mising-Padam-Miri-Minyong,10
Kalam,Kyaka,1
Kalam,West Kewa,2
Kalam,Kwoma,3
Kalam,Yagaria,4
Kalam,Terei,5
Kalam,Telefol,6
Kalam,Angguruk Yali,7
Kalam,To'abaita,8
Kalam,Nakanai,9
Kalam,Nen,10
Kalamang,Dakaka,1
Kalamang,Teanu,2
Kalamang,Teop,3
Kalamang,Mele-Fila,4
Kalamang,Wersing,5
Kalamang,Lenakel,6
Kalamang,Yapese,7
Kalamang,Nafsan,8
Kalamang,Larike-Wakasihu,9
Kalamang,Kwamera,10
Kalispel-Pend d'Oreille,Chippewa,1
Kalispel-Pend d'Oreille,Dakota,2
Kalispel-Pend d'Oreille,Lakota,3
Kalispel-Pend d'Oreille,Northwestern Ojibwa,4
Kalispel-Pend d'Oreille,Nez Perce,5
Kalispel-Pend d'Oreille,Mayan,6
Kalispel-Pend d'Oreille,Cheyenne,7
Kalispel-Pend d'Oreille,Yámana,8
Kalispel-Pend d'Oreille,Unami,9
Kalispel-Pend d'Oreille,Eastern Ojibwa,10
Kamba,Luo,1
Kamba,Iraqw,2
Kamba,Shona,3
Kamba,Nandi,4
Kamba,Venda,5
Kamba,Karamojong,6
Kamba,Central Dagaare,7
Kamba,Giryama,8
Kamba,Yao,9
Kamba,Ganda,10
Kannada,Tamil,1
Kannada,Malayalam,2
Kannada,Telugu,3
Kannada,Sanskrit,4
Kannada,Sinhala,5
Kannada,Bengali,6
Kannada,Marathi,7
Kannada,Tulu,8
Kannada,Hindi,9
Kannada,Pali,10
Kapingamarangi,Mokilese,1
Kapingamarangi,Marshallese,2
Kapingamarangi,Chuukese,3
Kapingamarangi,Carolinian,4
Kapingamarangi,Takuu,5
Kapingamarangi,Yapese,6
Kapingamarangi,Puluwatese,7
Kapingamarangi,Woleaian,8
Kapingamarangi,Pohnpeian,9
Kapingamarangi,Rennell-Bellona,10
Karamojong,Iraqw,1
Karamojong,Southwestern Dinka,2
Karamojong,Nandi,3
Karamojong,Ha,4
Karamojong,Sidamo,5
Karamojong,Kipsigis,6
Karamojong,Naro,7
Karamojong,Ndau,8
Karamojong,Zigula-Mushungulu,9
Karamojong,Southern Sotho,10
Kashmiri,Maithili,1
Kashmiri,Telugu,2
Kashmiri,Eastern Panjabi,3
Kashmiri,Marathi,4
Kashmiri,Tulu,5
Kashmiri,Kannada,6
Kashmiri,Mahasu Pahari,7
Kashmiri,Western Panjabi,8
Kashmiri,Kathmandu Valley Newari,9
Kashmiri,Saurashtra,10
Kathmandu Valley Newari,Maithili,1
Kathmandu Valley Newari,Saurashtra,2
Kathmandu Valley Newari,Badaga,3
Kathmandu Valley Newari,Kashmiri,4
Kathmandu Valley Newari,Mahasu Pahari,5
Kathmandu Valley Newari,Manda,6
Kathmandu Valley Newari,Caribbean Hindustani,7
Kathmandu Valley Newari,Bondo,8
Kathmandu Valley Newari,Santali,9
Kathmandu Valley Newari,Mundari,10
Katë,Eastern Balochi,1
Katë,Didinga,2
Katë,Gade,3
Katë,South-Central Koongo,4
Katë,Atayal,5
Katë,Tiv,6
Katë,Kurukh,7
Katë,Mising-Padam-Miri-Minyong,8
Katë,Mahasu Pahari,9
Katë,Kalispel-Pend d'Oreille,10
Kazakh,North Azerbaijani,1
Kazakh,Uighur,2
Kazakh,Halh Mongolian,3
Kazakh,Georgian,4
Kazakh,Central Kurdish,5
Kazakh,Upper Sorbian,6
Kazakh,Slovak,7
Kazakh,Sicilian,8
Kazakh,Serbian-Croatian-Bosnian,9
Kazakh,Aromanian,10
Khasi,East-Central Tangkhul Naga,1
Khasi,Southern Jinghpaw,2
Khasi,Lepcha,3
Khasi,Bantawa,4
Khasi,Rabha,5
Khasi,Mizo,6
Khasi,Mara Chin,7
Khasi,Kipsigis,8
Khasi,Sora,9
Khasi,Mundari,10
Khotanese,Neo-Mandaic,1
Khotanese,Jewish Babylonian Aramaic,2
Khotanese,Pali,3
Khotanese,Avestan,4
Khotanese,Assyrian Neo-Aramaic,5
Khotanese,Khwarezmian,6
Khotanese,Classical Syriac,7
Khotanese,Kashmiri,8
Khotanese,Andalusian Arabic,9
Khotanese,Sinhala,10
Khwarezmian,Lycian A,1
Khwarezmian,Avestan,2
Khwarezmian,Eastern Balochi,3
Khwarezmian,Khotanese,4
Khwarezmian,Jewish Babylonian Aramaic,5
Khwarezmian,Classical Nahuatl,6
Khwarezmian,Central Carrier,7
Khwarezmian,Katë,8
Khwarezmian,Ho-Chunk,9
Khwarezmian,Northeast Maidu,10
Kiliwa,Cahuilla,1
Kiliwa,Navajo,2
Kiliwa,Shoshoni,3
Kiliwa,Koasati,4
Kiliwa,Havasupai-Walapai-Yavapai,5
Kiliwa,Jicarilla Apache,6
Kiliwa,Northwest Sahaptin,7
Kiliwa,Comanche,8
Kiliwa,Yaqui,9
Kiliwa,Alabama,10
Kinshasa Lingala,Tok Pisin,1
Kinshasa Lingala,Ndau,2
Kinshasa Lingala,Warao,3
Kinshasa Lingala,Bobangi,4
Kinshasa Lingala,Abua,5
Kinshasa Lingala,Didinga,6
Kinshasa Lingala,South-Central Koongo,7
Kinshasa Lingala,Lega-Shabunda,8
Kinshasa Lingala,Sango,9
Kinshasa Lingala,Tangale,10
Kinyarwanda,Eastern Yiddish,1
Kinyarwanda,Moselle Franconian,2
Kinyarwanda,Southern Hindko,3
Kinyarwanda,Slovenian,4
Kinyarwanda,Turkana,5
Kinyarwanda,Sicilian,6
Kinyarwanda,Slovak,7
Kinyarwanda,Eastern Armenian,8
Kinyarwanda,Spanish,9
Kinyarwanda,Latin American Spanish,10
Kipsigis,Kwangali,1
Kipsigis,Karamojong,2
Kipsigis,Tsonga,3
Kipsigis,Swati,4
Kipsigis,Turkana,5
Kipsigis,Nandi,6
Kipsigis,Somali,7
Kipsigis,Gaam,8
Kipsigis,Southwestern Dinka,9
Kipsigis,Ncane-Mungong,10
Kirghiz,Northern Uzbek,1
Kirghiz,Filipino,2
Kirghiz,Tibetan,3
Kirghiz,Romanian,4
Kirghiz,Vietnamese,5
Kirghiz,Korean,6
Kirghiz,Turkmen,7
Kirghiz,Standard Indonesian,8
Kirghiz,Burmese,9
Kirghiz,Japanese,10
Klamath-Modoc,Yana,1
Klamath-Modoc,Seneca,2
Klamath-Modoc,Ipai,3
Klamath-Modoc,Plains Cree,4
Klamath-Modoc,Western Abenaki,5
Klamath-Modoc,Malecite-Passamaquoddy,6
Klamath-Modoc,Northeast Maidu,7
Klamath-Modoc,Western Canadian Inuktitut,8
Klamath-Modoc,Western Tlacolula Valley Zapotec,9
Klamath-Modoc,Ho-Chunk,10
Koasati,Alabama,1
Koasati,Creek,2
Koasati,Cahuilla,3
Koasati,Comanche,4
Koasati,Shoshoni,5
Koasati,Havasupai-Walapai-Yavapai,6
Koasati,Northwest Sahaptin,7
Koasati,Upper Chehalis,8
Koasati,Eastern Ojibwa,9
Koasati,Tonkawa,10
Kok Borok,Chang Naga,1
Kok Borok,Nez Perce,2
Kok Borok,Assamese,3
Kok Borok,Bodo-Mech,4
Kok Borok,Gujarati,5
Kok Borok,Semai,6
Kok Borok,Javanese,7
Kok Borok,Shan,8
Kok Borok,Odia,9
Kok Borok,Turkana,10
Korean,Japanese,1
Korean,Vietnamese,2
Korean,Mandarin Chinese,3
Korean,Kirghiz,4
Korean,Standard Indonesian,5
Korean,Finnish,6
Korean,Burmese,7
Korean,Northern Uzbek,8
Korean,Estonian,9
Korean,Romanian,10
Kosarek Yale,Yagaria,1
Kosarek Yale,Kalam,2
Kosarek Yale,Oksapmin,3
Kosarek Yale,Kâte,4
Kosarek Yale,Kwoma,5
Kosarek Yale,Selepet,6
Kosarek Yale,Angguruk Yali,7
Kosarek Yale,Marra,8
Kosarek Yale,Telefol,9
Kosarek Yale,Kyaka,10
Kosraean,Mokilese,1
Kosraean,Yapese,2
Kosraean,Pohnpeian,3
Kosraean,Chuukese,4
Kosraean,Marshallese,5
Kosraean,Carolinian,6
Kosraean,Woleaian,7
Kosraean,Kapingamarangi,8
Kosraean,Palauan,9
Kosraean,Coastal-Naga Bikol,10
Kuanyama,Herero,1
Kuanyama,South-Central Koongo,2
Kuanyama,Turkana,3
Kuanyama,Bobangi,4
Kuanyama,Xhosa,5
Kuanyama,Ndau,6
Kuanyama,Yoruba,7
Kuanyama,Cornish,8
Kuanyama,Swati,9
Kuanyama,Tsonga,10
Kudmali,Sadri,1
Kudmali,Mundari,2
Kudmali,Manda,3
Kudmali,Western Panjabi,4
Kudmali,Sora,5
Kudmali,East-Central Tangkhul Naga,6
Kudmali,Tulu,7
Kudmali,Dimasa,8
Kudmali,Ho,9
Kudmali,Rabha,10
Kuku-Yalanji,Muruwari,1
Kuku-Yalanji,Wik-Mungkan,2
Kuku-Yalanji,Tiwi,3
Kuku-Yalanji,Bardi,4
Kuku-Yalanji,Kumbainggar,5
Kuku-Yalanji,Mudburra,6
Kuku-Yalanji,Ngalkbun,7
Kuku-Yalanji,Jingulu,8
Kuku-Yalanji,Tweed-Albert,9
Kuku-Yalanji,Wirangu,10
Kumbainggar,Wirangu,1
Kumbainggar,Tiwi,2
Kumbainggar,Tweed-Albert,3
Kumbainggar,Yandruwandha,4
Kumbainggar,Warlpiri,5
Kumbainggar,Yankunytjatjara,6
Kumbainggar,Bardi,7
Kumbainggar,Kuku-Yalanji,8
Kumbainggar,Ngalkbun,9
Kumbainggar,Muruwari,10
Kurukh,Santali,1
Kurukh,Ho,2
Kurukh,Ao Naga,3
Kurukh,Sundanese,4
Kurukh,Sora,5
Kurukh,Rabha,6
Kurukh,Tuwali Ifugao,7
Kurukh,Nyanja,8
Kurukh,Zulu,9
Kurukh,Mizo,10
Kwaio,Nakanai,1
Kwaio,'Are'are,2
Kwaio,Lau,3
Kwaio,Cheke Holo,4
Kwaio,Arosi,5
Kwaio,Kwamera,6
Kwaio,To'abaita,7
Kwaio,Telefol,8
Kwaio,Yagaria,9
Kwaio,Gela,10
Kwak'wala,Squamish,1
Kwak'wala,Bella Coola,2
Kwak'wala,Aleut,3
Kwak'wala,Upper Chehalis,4
Kwak'wala,Haisla,5
Kwak'wala,Dena'ina,6
Kwak'wala,Tanacross,7
Kwak'wala,Nuu-chah-nulth,8
Kwak'wala,Northwest Sahaptin,9
Kwak'wala,Central Siberian Yupik,10
Kwamera,Lenakel,1
Kwamera,Mele-Fila,2
Kwamera,Dakaka,3
Kwamera,Sie,4
Kwamera,Nakanai,5
Kwamera,Cheke Holo,6
Kwamera,To'abaita,7
Kwamera,Teop,8
Kwamera,Futuna-Aniwa,9
Kwamera,Aneityum,10
Kwangali,Kipsigis,1
Kwangali,Tsonga,2
Kwangali,Swati,3
Kwangali,Diriku-Shambyu,4
Kwangali,Karamojong,5
Kwangali,Turkana,6
Kwangali,Ganda,7
Kwangali,Zigula-Mushungulu,8
Kwangali,Nandi,9
Kwangali,Slovak,10
Kwoma,Kalam,1
Kwoma,To'abaita,2
Kwoma,Kyaka,3
Kwoma,Nakanai,4
Kwoma,Terei,5
Kwoma,Tangga,6
Kwoma,Cheke Holo,7
Kwoma,Kwaio,8
Kwoma,Tikopia,9
Kwoma,Nen,10
Kxoe,East Taa,1
Kxoe,Diriku-Shambyu,2
Kxoe,Lega-Shabunda,3
Kxoe,Southwestern Dinka,4
Kxoe,Tangale,5
Kxoe,Nandi,6
Kxoe,Bambara,7
Kxoe,Iraqw,8
Kxoe,Mwaghavul,9
Kxoe,Bafanji,10
Kyaka,Kalam,1
Kyaka,Telefol,2
Kyaka,West Kewa,3
Kyaka,Kwoma,4
Kyaka,Selepet,5
Kyaka,To'abaita,6
Kyaka,Yagaria,7
Kyaka,Nakanai,8
Kyaka,Angguruk Yali,9
Kyaka,Cheke Holo,10
Kâte,Marra,1
Kâte,Yabem,2
Kâte,Kosarek Yale,3
Kâte,Gedaged,4
Kâte,Angguruk Yali,5
Kâte,Selepet,6
Kâte,Yagaria,7
Kâte,Mota,8
Kâte,Arosi,9
Kâte,Wampar,10
Kómnjo,Wampar,1
Kómnjo,Nen,2
Kómnjo,Terei,3
Kómnjo,Mali,4
Kómnjo,Sinaugoro,5
Kómnjo,Angguruk Yali,6
Kómnjo,West Kewa,7
Kómnjo,Fuyug,8
Kómnjo,Äiwoo,9
Kómnjo,Cheke Holo,10
Ladino,Haitian,1
Ladino,Eastern Yiddish,2
Ladino,Media Lengua,3
Ladino,Papiamento,4
Ladino,Malacca-Batavia Portuguese Creole,5
Ladino,Aromanian,6
Ladino,Moroccan Arabic,7
Ladino,Chamorro,8
Ladino,Chadian Arabic,9
Ladino,Maranao,10
Lakota,Dakota,1
Lakota,Kalispel-Pend d'Oreille,2
Lakota,Eastern Ojibwa,3
Lakota,Osage,4
Lakota,Koasati,5
Lakota,Alabama,6
Lakota,Northwest Sahaptin,7
Lakota,Upper Chehalis,8
Lakota,Shoshoni,9
Lakota,Cheyenne,10
Lamba,Ganda,1
Lamba,Giryama,2
Lamba,Tswana,3
Lamba,Zigula-Mushungulu,4
Lamba,Nyanja,5
Lamba,Yao,6
Lamba,Mbukushu,7
Lamba,Zande,8
Lamba,Ndau,9
Lamba,Lozi,10
Lao,Central Khmer,1
Lao,Thai,2
Lao,Maranao,3
Lao,Halh Mongolian,4
Lao,Sembakung Murut,5
Lao,Uighur,6
Lao,Tai Nüa,7
Lao,Galician,8
Lao,Tai Dón,9
Lao,Mon,10
Larike-Wakasihu,Rongga,1
Larike-Wakasihu,Muna,2
Larike-Wakasihu,Arta,3
Larike-Wakasihu,Mag-Anchi Ayta,4
Larike-Wakasihu,Misima-Paneati,5
Larike-Wakasihu,Äiwoo,6
Larike-Wakasihu,Talise,7
Larike-Wakasihu,Sinaugoro,8
Larike-Wakasihu,Mansaka,9
Larike-Wakasihu,Mali,10
Latin,Modern Greek,1
Latin,Welsh,2
Latin,Old English,3
Latin,Dzongkha,4
Latin,Old French,5
Latin,Classical Syriac,6
Latin,Irish,7
Latin,Old Norse,8
Latin,Portuguese,9
Latin,Scottish Gaelic,10
Latin American Spanish,Spanish,1
Latin American Spanish,French,2
Latin American Spanish,Italian,3
Latin American Spanish,Slovenian,4
Latin American Spanish,Portuguese,5
Latin American Spanish,Galician,6
Latin American Spanish,Afrikaans,7
Latin American Spanish,Polish,8
Latin American Spanish,Serbian-Croatian-Bosnian,9
Latin American Spanish,Sicilian,10
Latvian,Ukrainian,1
Latvian,Lithuanian,2
Latvian,Russian,3
Latvian,Hungarian,4
Latvian,Polish,5
Latvian,Slovak,6
Latvian,Czech,7
Latvian,Swedish,8
Latvian,Danish,9
Latvian,Upper Sorbian,10
Lau,Arosi,1
Lau,Gela,2
Lau,'Are'are,3
Lau,Roviana,4
Lau,Bughotu,5
Lau,Toaripi,6
Lau,Futuna-Aniwa,7
Lau,Mota,8
Lau,Mailu,9
Lau,Orokolo,10
Lega-Shabunda,Kxoe,1
Lega-Shabunda,Bongo,2
Lega-Shabunda,Tangale,3
Lega-Shabunda,Warao,4
Lega-Shabunda,Liberia Kpelle,5
Lega-Shabunda,Mwaghavul,6
Lega-Shabunda,Limbu,7
Lega-Shabunda,Beng,8
Lega-Shabunda,Belanda Bor,9
Lega-Shabunda,Bafanji,10
Leh Ladakhi,Sadri,1
Leh Ladakhi,Central Kurdish,2
Leh Ladakhi,Lisu,3
Leh Ladakhi,Javanese,4
Leh Ladakhi,Media Lengua,5
Leh Ladakhi,Beja,6
Leh Ladakhi,Saurashtra,7
Leh Ladakhi,Sumerian,8
Leh Ladakhi,Chadian Arabic,9
Leh Ladakhi,Central Kanuri,10
Lenakel,Kwamera,1
Lenakel,Nafsan,2
Lenakel,Sie,3
Lenakel,To'abaita,4
Lenakel,Paama,5
Lenakel,Äiwoo,6
Lenakel,Mele-Fila,7
Lenakel,Misima-Paneati,8
Lenakel,Talise,9
Lenakel,Daakie,10
Lepcha,Southern Jinghpaw,1
Lepcha,Sora,2
Lepcha,Khasi,3
Lepcha,Chepang,4
Lepcha,Mising-Padam-Miri-Minyong,5
Lepcha,Shan,6
Lepcha,Mizo,7
Lepcha,S'gaw Karen,8
Lepcha,Mon,9
Lepcha,East-Central Tangkhul Naga,10
Levantine Arabic,Gilit Mesopotamian Arabic,1
Levantine Arabic,Gulf Arabic,2
Levantine Arabic,Sanaani Arabic,3
Levantine Arabic,Moroccan Arabic,4
